run,sp,rep,camfile,plateau_level,plateau_s,eval_n,dt_onset,dt_refined,dt_transition,d_ref_onset,d_ref_tran,rms_onset,rms_refined,rms_transition,mae_onset,mae_refined,mae_transition,bias_onset,bias_refined,bias_transition,corr_refined,cam_total_deg,enc_total_deg,cam_span_deg,enc_span_deg,dt_med_ms,dt_sd_ms,dt_core_sd_ms,dt_mad_ms,dt_p99_ms,dt_max_ms,n_gaps,n_int,est_dropped,rep_n,dRMS_onset,pct_onset,dMAE_onset,dBIAS_onset,dRMS_transition,pct_transition,dMAE_transition,dBIAS_transition,angle_pct_diff
first_test_30deg-s,30,first,apriltag_multitag_fused_20260615_210343.xlsx,30.982433800601395,28.510000000000005,2551,-99.23,-99.22299999999758,-99.21199999999753,0.0070000000024208475,-0.011000000000052523,0.8997966161249612,0.9023758382155234,0.9071438214826494,0.6997703984828505,0.7016056467685573,0.7054696187597508,-0.0703924757088754,-0.07151923255039948,-0.07328278465761376,0.9026593600823113,902.602753681536,903.3689839572193,902.6206973391868,903.3689839572193,30.99989891052246,4.268469764834235,2.5219137041025035,0.9999275207519531,42.400026321411225,134.99999046325684,5,1261,8,1,-0.002579222090562161,-0.28582570380681444,-0.001835248285706803,0.0011267568415240792,0.004767983267126019,0.5283810874806728,0.0038639719911934822,-0.0017635521072142807,-0.08481919230022428
seconed_test_30deg-s,30,seconed,apriltag_multitag_fused_20260615_165538.xlsx,30.49707715995089,29.490000000000002,2649,-5.44,-5.454999999999838,-5.434999999999832,-0.014999999999838032,-0.02000000000000668,0.7832509500831056,0.7649128719194951,0.7883840781399043,0.6096531278274469,0.5974215012493688,0.6126816268543414,-0.04134296030524683,-0.04405813667462959,-0.04034769946471455,0.9149917417566983,900.4081530670062,901.2032085561498,900.4198750004978,901.4438502673797,30.99989891052246,4.117373749913694,2.0653743852333406,0.9999275207519531,42.00005531311035,131.99996948242188,7,1266,10,2,0.01833807816361055,2.3974074481963457,0.01223162657807808,0.00271517636938276,0.023471206220409213,3.0684810103286497,0.015260125604972585,0.0037104372099150407,-0.08822155553766456
third_test_30deg-s,30,third,apriltag_multitag_fused_20260615_165833.xlsx,30.468554757725435,26.240000000000002,2324,-5.880000000000001,-5.862999999999828,-5.850999999999824,0.017000000000172655,-0.012000000000004007,0.8382927119196885,0.8483040328194484,0.8563363154917678,0.6591653432050387,0.6688035914812414,0.6762637480507212,-0.06774524991500708,-0.0660770900238159,-0.06485134332750289,0.9204975731754822,807.5355016451928,807.5935828877006,807.5861995315124,807.5935828877006,30.99989891052246,3.790798146107417,1.9739922473830285,0.9999275207519531,39.00003433227539,129.99987602233887,4,1275,7,3,-0.010011320899759979,-1.1801571738950782,-0.009638248276202632,-0.0016681598911911788,0.008032282672319369,0.9468636669830551,0.007460156569479848,0.001225746696313007,-0.007191890046985801
first_test_60deg-s,60,first,apriltag_multitag_fused_20260615_170322.xlsx,60.57770056584593,26.019999999999996,2302,-4.790000000000001,-4.772999999999828,-4.765999999999826,0.017000000000172655,-0.007000000000002338,1.35209980417417,1.384113551349595,1.3970815462713317,1.0211691592298977,1.0538236202658415,1.0672910494359822,-0.12937262061351754,-0.1319585029701412,-0.1330576076334583,0.9166817882272987,1576.833202378044,1576.6844919786097,1576.8640514959782,1576.6844919786097,30.99989891052246,4.1788260569452325,2.2837844688308575,0.9999275207519531,42.28003501892087,132.99989700317383,7,1273,10,1,-0.032013747175424934,-2.312942254210977,-0.03265446103594383,0.002585882356623659,0.012967994921736725,0.9369169826487241,0.013467429170140655,-0.001099104663317113,0.00943184259063157
seconed_test_60deg-s,60,seconed,apriltag_multitag_fused_20260615_170720.xlsx,60.363787911791405,21.769999999999996,1877,-5.630000000000001,-5.6079999999998265,-5.606999999999826,0.022000000000174325,-0.001000000000000334,1.6094295670408434,1.6158955043733827,1.6158164729759934,1.1682304555352985,1.1723353357832393,1.1722023328932871,-0.07533994173967352,-0.07622959969710012,-0.07627522918977991,0.9294595530002266,1324.425308206933,1324.0106951871658,1324.431738161953,1324.0106951871658,30.00020980834961,4.283324614837572,2.4811966693407763,1.0001659393310547,42.00005531311035,134.99999046325684,5,1280,8,2,-0.006465937332539307,-0.40014575911866834,-0.0041048802479408675,0.0008896579574265984,-7.903139738929532e-05,-0.004890873028323845,-0.0001330028899522162,-4.562949267979122e-05,0.03131492980188648
third_test_60deg-s,60,third,apriltag_multitag_fused_20260615_171057.xlsx,60.208680487203,22.790000000000003,1979,-5.0,-4.985999999999828,-4.983999999999828,0.014000000000171653,-0.002000000000000668,1.280039565898312,1.28076105509726,1.280963872140254,0.8863293380004713,0.8931809134923496,0.894084162215097,-0.11385417643320007,-0.11247064705924373,-0.11227021635023961,0.9406064840504819,1371.417390385532,1371.1764705882354,1371.4375072982202,1371.4171122994653,29.999971389770508,3.9658276124152927,2.050719625317088,0.9999275207519531,39.999961853027344,133.00013542175293,4,1303,7,3,-0.0007214891989479888,-0.05633284960348826,-0.0068515754918783145,-0.0013835293739563465,0.00020281704299418557,0.015835666003974787,0.0009032487227473851,0.00020043070900412074,0.0175702983871362
first_test_90deg-s,90,first,apriltag_multitag_fused_20260615_172743.xlsx,90.32762741881675,25.79,2279,-3.5600000000000005,-3.5359999999998255,-3.531999999999824,0.024000000000174992,-0.004000000000001336,2.0581007707861283,2.0552067021051923,2.057054857339535,1.4706887782707523,1.4753776266695655,1.4779944341688607,-0.12010976427893359,-0.12372745063452771,-0.12433058280070618,0.9143859978582066,2322.69438514467,2320.9893048128342,2322.736842502465,2321.229946524064,29.999971389770508,4.262599126495032,2.5127987553673536,0.9999275207519531,44.00014877319336,128.9999485015869,11,1290,14,1,0.0028940686809360017,0.14081642873057706,-0.004688848398813228,0.0036176863555941186,0.0018481552343425633,0.08992551612689167,0.0026168074992951595,-0.0006031321661784661,0.07346351524757186
seconed_test_90deg-s,90,seconed,apriltag_multitag_fused_20260615_173030.xlsx,90.30875545787205,24.64,2164,-3.5699999999999985,-3.543999999999823,-3.540999999999822,0.02600000000017566,-0.003000000000001002,1.1359850367467643,1.1684835393158763,1.1735912232874868,0.8648497445583645,0.8989207444103482,0.9039646360690831,-0.15252204648089168,-0.14779015255729286,-0.14726434586824041,0.9694073379116916,2217.897283591991,2216.5508021390374,2217.907935509664,2216.5508021390374,29.999971389770508,3.7162999974158937,1.7572832784815198,0.9999275207519531,38.00010681152344,128.9999485015869,4,1325,7,2,-0.03249850256911202,-2.781254632661684,-0.034070999851983697,-0.004731893923598823,0.005107683971610433,0.43712074665603584,0.005043891658734867,0.0005258066890524438,0.06074669940585245
third_test_90deg-s,90,third,apriltag_multitag_fused_20260615_173309.xlsx,90.18547017190205,25.509999999999998,2251,-3.63,-3.5949999999998212,-3.593999999999821,0.035000000000178666,-0.001000000000000334,1.6660846143952766,1.6862188828345905,1.6869120202586727,1.150195952216558,1.1693980550846752,1.1698475198068539,-0.23711243581711453,-0.24134937147877647,-0.24145400858491908,0.9329749406616972,2297.015446178868,2294.7593582887703,2297.052039555882,2294.7593582887703,29.000043869018555,3.9870358639444197,2.3505825813090144,0.9999275207519531,41.0001277923584,128.00002098083496,6,1319,9,3,-0.020134268439313985,-1.1940483317010189,-0.0192021028681173,0.004236935661661945,0.0006931374240821686,0.041106017204420184,0.00044946472217866074,-0.00010463710614261323,0.09831479200416259
first_test_120deg-s,120,first,apriltag_multitag_fused_20260615_173856.xlsx,120.07798480159097,23.119999999999997,2012,-4.409999999999999,-4.365999999999818,-4.365999999999818,0.04400000000018167,0.0,2.911562710881587,2.8918009482061393,2.8918009482061393,1.9839459453783423,1.990721676215708,1.990721676215708,-0.20765318971207689,-0.20655644806555862,-0.20655644806555862,0.9150917270228776,2796.352040964316,2792.6470588235293,2796.361622769031,2792.6470588235293,29.999971389770508,4.5188746083324505,2.2994070974682903,0.9999275207519531,41.9500589370728,134.99999046325684,11,1306,15,1,0.019761762675447603,0.6833721625171452,-0.006775730837365712,-0.0010967416465182678,0.0,0.0,0.0,0.0,0.13266918671590425
seconed_test_120deg-s,120,seconed,apriltag_multitag_fused_20260615_174106.xlsx,121.65961988980322,24.949999999999996,2195,-3.1900000000000004,-3.156000000000059,-3.1540000000000594,0.03399999999994119,-0.0019999999999997797,3.5937972779397396,3.5826397880567944,3.5822676081457114,2.6357133028372246,2.6265052859695204,2.6261977131375107,-0.15717320198794782,-0.1632728751138383,-0.16352280879311676,0.871713428465042,3041.172843385888,3038.342245989305,3041.197332645299,3038.342245989305,29.999971389770508,4.707047691758973,2.654374844242896,0.9999275207519531,44.22013282775882,133.00013542175293,13,1279,16,2,0.011157489882945182,0.3114320875947439,0.009208016867704227,0.006099673125890492,-0.00037217991108295934,-0.010388426777474825,-0.00030757283200966157,-0.0002499336792784468,0.09316255929757361
third_test_120deg-s,120,third,apriltag_multitag_fused_20260615_174408.xlsx,120.79563798044057,27.990000000000002,2499,-4.220000000000001,-4.183999999999822,-4.17999999999982,0.036000000000179,-0.004000000000001336,2.353260943198203,2.32748008862103,2.3293480366007904,1.7606502258650603,1.7449149982261132,1.7465491223263436,-0.23560374586035737,-0.2377868954825623,-0.2379528197756476,0.9344470514835371,3386.430816888015,3385.5882352941176,3386.4505339058073,3385.5882352941176,29.999971389770508,4.396561309821257,2.4919836173126053,0.9999275207519531,40.99989891052246,141.00003242492676,3,1297,7,3,0.025780854577172718,1.1076724008602448,0.01573522763894708,0.002183149622204922,0.0018679479797603094,0.0802562388779454,0.0016341241002304496,-0.00016592429308531775,0.024887302747389494
first_test_150deg-s,150,first,apriltag_multitag_fused_20260615_175223.xlsx,150.89618888563894,22.809999999999995,1981,-3.7200000000000006,-3.684999999999822,-3.6779999999998196,0.035000000000178666,-0.007000000000002338,3.477080507266724,3.5274999725667633,3.538223332571547,2.5001275829562326,2.5614061137556248,2.5719849904622905,-0.29819013872036415,-0.30372407296650206,-0.304913441336414,0.9170171505441113,3470.276341818065,3465.2406417112297,3470.308416093944,3465.2406417112297,29.999971389770508,4.268658679088852,2.4900090719648698,1.0001659393310547,40.9998893737793,131.99996948242188,5,1308,8,1,-0.05041946530003916,-1.4293257460566824,-0.06127853079939216,0.005533934246137906,0.0107233600047838,0.3039931988144287,0.010578876706665685,-0.0011893683699119584,0.14532035802132057
seconed_test_150deg-s,150,seconed,apriltag_multitag_fused_20260615_175454.xlsx,150.9330890619482,22.959999999999997,1996,-3.0900000000000007,-3.043000000000061,-3.035000000000062,0.04699999999993976,-0.007999999999999119,2.200301009225952,2.296440576938092,2.31314602534933,1.7855103363303346,1.8762431719135528,1.8911787244571723,-0.2078300803019588,-0.19769632604080428,-0.19595970565576298,0.9449336377547405,3491.585982660578,3488.823529411765,3491.593177761487,3488.823529411765,29.999971389770508,4.0233901866841855,2.3212306659158366,0.9999275207519531,39.999961853027344,134.99999046325684,4,1314,8,2,-0.09613956771213994,-4.186460066836369,-0.09073283558321821,-0.01013375426115451,0.01670544841123789,0.7274496270010926,0.014935552543619446,0.0017366203850412987,0.07918007963213841
third_test_150deg-s,150,third,apriltag_multitag_fused_20260615_182743.xlsx,150.96408045698809,26.94,2394,-2.6400000000000006,-2.593000000000061,-2.5870000000000615,0.04699999999993976,-0.005999999999999339,3.9022318107419234,3.9229494998017187,3.9248785765661554,2.4348566469309465,2.470698807224295,2.474611832985143,-0.2989738736623006,-0.3002453345617357,-0.300230818167477,0.8826159646969243,4095.236860520275,4090.668449197861,4095.2630755736172,4090.668449197861,29.000043869018555,4.057374372681785,2.0612344167861854,0.9999275207519531,42.67000675201423,131.00004196166992,13,1334,17,3,-0.02071768905979532,-0.5281151098387189,-0.035842160293348524,0.001271460899435084,0.0019290767644366547,0.04917414217374345,0.003913025760847955,1.4516394258701215e-05,0.11167884611401516
first_test_180deg-s,180,first,apriltag_multitag_fused_20260615_183040.xlsx,182.0839436958438,27.96,2496,-2.7799999999999994,-2.7180000000000613,-2.7140000000000617,0.061999999999938105,-0.0039999999999995595,3.4174293344433737,3.4558173426267773,3.45327201010563,2.4194449565800378,2.444504888990318,2.4427636075450994,-0.47210977890623257,-0.49745256921750364,-0.49844370695536283,0.9101575731463202,5121.988024606424,5117.486631016042,5122.003030396754,5117.486631016042,29.999971389770508,3.949352223944568,2.025974446933848,0.9999275207519531,40.99990129470825,133.99982452392578,6,1296,9,1,-0.0383880081834036,-1.1108228351624845,-0.02505993241028026,0.02534279031127107,-0.0025453325211475253,-0.07365356061361768,-0.0017412814452186787,-0.0009911377378591935,0.08796102295802082
seconed_test_180deg-s,180,seconed,apriltag_multitag_fused_20260615_183451.xlsx,182.23693147673555,21.08,1808,-3.120000000000001,-3.0730000000000612,-3.0630000000000623,0.04699999999993976,-0.009999999999998899,5.055658871385568,5.146754644338097,5.1599127602723565,3.7437656915030963,3.8132277778617696,3.822797541323611,-0.37134899089872997,-0.3861839245386662,-0.39183166916110856,0.8874513024934383,3881.652136586004,3880.347593582888,3881.670017434254,3880.347593582888,30.00020980834961,4.394281648381145,2.649737941719902,1.0001659393310547,44.99990701675415,131.99996948242188,11,1272,14,2,-0.0910957729525288,-1.7699653324788371,-0.06946208635867324,0.01483493363993621,0.013158115934259307,0.25565850411646185,0.00956976346184124,-0.0056477446224423855,0.03361923053680827
third_test_180deg-s,180,third,apriltag_multitag_fused_20260615_183723.xlsx,182.22848455316768,23.910000000000004,2091,-2.9400000000000004,-2.882000000000062,-2.8750000000000626,0.057999999999938545,-0.006999999999999229,2.8329248124881934,2.8340671799513166,2.829660318130579,2.0833126862785027,2.08390009056627,2.0811595391813063,-0.38817958171816846,-0.3884843306588488,-0.3883692710577751,0.9450095483818887,4388.087610769975,4384.732620320856,4388.105673320202,4384.732620320856,29.999971389770508,4.024414714935303,1.7779674644649797,0.9999275207519531,38.95002603530888,133.99982452392578,6,1306,9,3,-0.0011423674631232394,-0.04030841157205253,-0.000587404287767157,0.00030474894068033276,-0.004406861820737795,-0.15549602535581022,-0.002740551384963652,0.00011505960107371926,0.07651528016943733
first_test_210deg-s,210,first,apriltag_multitag_fused_20260615_184101.xlsx,212.4645544088906,25.31,2231,-2.92,-2.8540000000000623,-2.8450000000000633,0.06599999999993766,-0.008999999999999009,4.693191980291924,4.669435940208252,4.664907792823774,3.198997136833154,3.1907032690578228,3.1856467264093706,-0.35698163090111246,-0.3510330449210683,-0.34771365655484854,0.8892225425975024,5429.347414811174,5426.951871657754,5429.364621221681,5426.951871657754,29.999971389770508,4.433447681088307,2.1708927205208166,0.9999275207519531,39.999961853027344,147.00007438659668,5,1287,9,1,0.023756040083672048,0.5087560979070324,0.008293867775331254,-0.005948585980044163,-0.004528147384477599,-0.09697418365858658,-0.0050565426484521225,0.0033193883662197554,0.04414159568892229
