setpoint,repeat,dt_onset_s,dt_refined_s,dt_transition_s,RMS_refined,RMS_onset,RMS_transition,dRMS_onset,pct_onset,dRMS_transition,pct_transition,MAE_refined,bias_refined,cam_total_deg,enc_total_deg,angle_pct_diff
30,1,-99.23,-99.22299999999758,-99.21199999999753,0.9023758382155234,0.8997966161249612,0.9071438214826494,-0.002579222090562161,-0.28582570380681444,0.004767983267126019,0.5283810874806728,0.7016056467685573,-0.07151923255039948,902.602753681536,903.3689839572193,-0.08481919230022428
30,2,-5.44,-5.454999999999838,-5.434999999999832,0.7649128719194951,0.7832509500831056,0.7883840781399043,0.01833807816361055,2.3974074481963457,0.023471206220409213,3.0684810103286497,0.5974215012493688,-0.04405813667462959,900.4081530670062,901.2032085561498,-0.08822155553766456
30,3,-5.880000000000001,-5.862999999999828,-5.850999999999824,0.8483040328194484,0.8382927119196885,0.8563363154917678,-0.010011320899759979,-1.1801571738950782,0.008032282672319369,0.9468636669830551,0.6688035914812414,-0.0660770900238159,807.5355016451928,807.5935828877006,-0.007191890046985801
60,1,-4.790000000000001,-4.772999999999828,-4.765999999999826,1.384113551349595,1.35209980417417,1.3970815462713317,-0.032013747175424934,-2.312942254210977,0.012967994921736725,0.9369169826487241,1.0538236202658415,-0.1319585029701412,1576.833202378044,1576.6844919786097,0.00943184259063157
60,2,-5.630000000000001,-5.6079999999998265,-5.606999999999826,1.6158955043733827,1.6094295670408434,1.6158164729759934,-0.006465937332539307,-0.40014575911866834,-7.903139738929532e-05,-0.004890873028323845,1.1723353357832393,-0.07622959969710012,1324.425308206933,1324.0106951871658,0.03131492980188648
60,3,-5.0,-4.985999999999828,-4.983999999999828,1.28076105509726,1.280039565898312,1.280963872140254,-0.0007214891989479888,-0.05633284960348826,0.00020281704299418557,0.015835666003974787,0.8931809134923496,-0.11247064705924373,1371.417390385532,1371.1764705882354,0.0175702983871362
90,1,-3.5600000000000005,-3.5359999999998255,-3.531999999999824,2.0552067021051923,2.0581007707861283,2.057054857339535,0.0028940686809360017,0.14081642873057706,0.0018481552343425633,0.08992551612689167,1.4753776266695655,-0.12372745063452771,2322.69438514467,2320.9893048128342,0.07346351524757186
90,2,-3.5699999999999985,-3.543999999999823,-3.540999999999822,1.1684835393158763,1.1359850367467643,1.1735912232874868,-0.03249850256911202,-2.781254632661684,0.005107683971610433,0.43712074665603584,0.8989207444103482,-0.14779015255729286,2217.897283591991,2216.5508021390374,0.06074669940585245
90,3,-3.63,-3.5949999999998212,-3.593999999999821,1.6862188828345905,1.6660846143952766,1.6869120202586727,-0.020134268439313985,-1.1940483317010189,0.0006931374240821686,0.041106017204420184,1.1693980550846752,-0.24134937147877647,2297.015446178868,2294.7593582887703,0.09831479200416259
120,1,-4.409999999999999,-4.365999999999818,-4.365999999999818,2.8918009482061393,2.911562710881587,2.8918009482061393,0.019761762675447603,0.6833721625171452,0.0,0.0,1.990721676215708,-0.20655644806555862,2796.352040964316,2792.6470588235293,0.13266918671590425
